Title,Rating,Information
Zoku Owarimonogatari,8.48,"        Movie (6 eps)        Nov 2018 - Nov 2018        162,878 members      "
Nana,8.47,"        TV (47 eps)        Apr 2006 - Mar 2007        443,834 members      "
Nichijou,8.47,"        TV (26 eps)        Apr 2011 - Sep 2011        688,099 members      "
Saenai Heroine no Sodatekata Fine,8.47,"        Movie (1 eps)        Oct 2019 - Oct 2019        107,309 members      "
Mushishi Zoku Shou: Odoro no Michi,8.46,"        Special (1 eps)        Aug 2014 - Aug 2014        81,326 members      "
Owarimonogatari,8.46,"        TV (12 eps)        Oct 2015 - Dec 2015        381,036 members      "
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.45,"        TV (13 eps)        Jul 2020 - Sep 2020        731,247 members      "
Saiki Kusuo no Ψ-nan 2,8.45,"        TV (24 eps)        Jan 2018 - Jun 2018        410,629 members      "
Yuu☆Yuu☆Hakusho,8.45,"        TV (112 eps)        Oct 1992 - Jan 1995        515,501 members      "
Golden Kamuy 3rd Season,8.45,"        TV (12 eps)        Oct 2020 - Dec 2020        92,822 members      "
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.45,"        Movie (1 eps)        Oct 2013 - Oct 2013        301,750 members      "
Gintama: Yorinuki Gintama-san on Theater 2D,8.44,"        Movie (2 eps)        Aug 2012 - Aug 2012        33,939 members      "
Gotcha!,8.44,"        Music (1 eps)        Sep 2020 - Sep 2020        18,025 members      "
Koukaku Kidoutai: Stand Alone Complex,8.44,"        TV (26 eps)        Oct 2002 - Oct 2003        336,922 members      "
Major S5,8.44,"        TV (25 eps)        Jan 2009 - Jun 2009        59,611 members      "
Mo Dao Zu Shi 2nd Season,8.44,"        ONA (8 eps)        Aug 2019 - Sep 2019        61,374 members      "
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.44,"        Movie (1 eps)        Feb 2018 - Feb 2018        277,043 members      "
Saiki Kusuo no Ψ-nan,8.43,"        TV (120 eps)        Jul 2016 - Dec 2016        698,116 members      "
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.43,"        TV (12 eps)        Jul 2020 - Sep 2020        458,414 members      "
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.43,"        TV (24 eps)        Jan 2015 - Jun 2015        723,382 members      "
Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.43,"        Movie (1 eps)        Aug 2009 - Aug 2009        171,718 members      "
Kaze ga Tsuyoku Fuiteiru,8.43,"        TV (23 eps)        Oct 2018 - Mar 2019        215,846 members      "
Mononoke,8.43,"        TV (12 eps)        Jul 2007 - Sep 2007        236,286 members      "
3-gatsu no Lion,8.42,"        TV (22 eps)        Oct 2016 - Mar 2017        509,988 members      "
Cross Game,8.42,"        TV (50 eps)        Apr 2009 - Mar 2010        104,679 members      "
Kono Oto Tomare! 2nd Season,8.42,"        TV (13 eps)        Oct 2019 - Dec 2019        96,908 members      "
Baccano!,8.41,"        TV (13 eps)        Jul 2007 - Nov 2007        749,562 members      "
Chihayafuru 2,8.41,"        TV (25 eps)        Jan 2013 - Jun 2013        192,857 members      "
Douluo Dalu: Xiaowu Juebie,8.41,"        ONA (13 eps)        May 2020 - Aug 2020        5,437 members      "
Gintama°: Aizome Kaori-hen,8.41,"        OVA (2 eps)        Aug 2016 - Nov 2016        63,500 members      "
Grand Blue,8.41,"        TV (12 eps)        Jul 2018 - Sep 2018        485,511 members      "
Houseki no Kuni (TV),8.41,"        TV (12 eps)        Oct 2017 - Dec 2017        328,002 members      "
Hunter x Hunter,8.41,"        TV (62 eps)        Oct 1999 - Mar 2001        449,116 members      "
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,"        TV (12 eps)        Jan 2019 - Mar 2019        1,076,625 members      "
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,"        Movie (1 eps)        Sep 2018 - Sep 2018        49,080 members      "
Usagi Drop,8.41,"        TV (11 eps)        Jul 2011 - Sep 2011        409,765 members      "
Mushoku Tensei: Isekai Ittara Honki Dasu,8.4,"        TV (11 eps)        Jan 2021 - Mar 2021        559,780 members      "
Natsume Yuujinchou Roku Specials,8.4,"        Special (2 eps)        Sep 2017 - Oct 2017        34,329 members      "
Non Non Biyori Nonstop,8.4,"        TV (12 eps)        Jan 2021 - Mar 2021        71,799 members      "
Shingeki no Kyojin: Kuinaki Sentaku,8.4,"        OVA (2 eps)        Dec 2014 - Apr 2015        366,632 members      "
